id,traces,expected_output,score
26,"User: find documentation for github actions workflows\nMCP: I'll search for documentation about GitHub Actions workflows.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""github actions workflow documentation repo:github/docs path:actions"",\n  ""sort"": ""indexed"",\n  ""per_page"": 5\n}","List of documentation files about GitHub Actions workflows, including file names and paths.",1.0
27,"User: compare stars between react and vue\nMCP: I'll compare the star counts between the React and Vue repositories.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:facebook/react repo:vuejs/vue"",\n  ""sort"": ""stars"",\n  ""per_page"": 2\n}","Comparison of star counts between React and Vue repositories, showing React with 210,000 stars and Vue with 205,000 stars.",1.0
28,"User: find trending repositories this month\nMCP: I'll search for trending repositories on GitHub this month.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""created:>2025-02-16"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of trending repositories created in the last month, sorted by star count, including repository names and descriptions.",1.0
29,"User: show me typescript projects with good documentation\nMCP: I'll find TypeScript projects known for good documentation.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""language:typescript topic:documentation"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of TypeScript projects with good documentation, sorted by star count, including repository names and descriptions.",1.0
30,"User: find repositories by language\nMCP: I'll search for repositories by programming language.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""language:rust stars:>1000"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of popular Rust repositories with more than 1000 stars, sorted by star count, including repository names and descriptions.",1.0
31,"User: find commit that introduced bug in tensorflow\nMCP: I'll search for the commit that might have introduced a bug in TensorFlow.\nRunning search_commits from @smithery-ai-github (local)\n{\n  ""q"": ""repo:tensorflow/tensorflow bug fix"",\n  ""sort"": ""committer-date"",\n  ""per_page"": 5\n}","List of commits in TensorFlow related to bug fixes, including commit SHAs, messages, and dates.",1.0
32,"User: check license of react\nMCP: I'll check the license information for the React repository.\nRunning get_file_contents from @smithery-ai-github (local)\n{\n  ""owner"": ""facebook"",\n  ""repo"": ""react"",\n  ""path"": ""LICENSE""\n}","Content of the LICENSE file from the React repository, showing it uses the MIT License.",1.0
33,"User: count contributors in django\nMCP: I'll count the number of contributors to the Django repository.\nRunning search_users from @smithery-ai-github (local)\n{\n  ""q"": ""repo:django/django"",\n  ""per_page"": 1\n}","Total count of contributors to the Django repository, showing 2345 contributors.",1.0
34,"User: show latest release of node.js\nMCP: I'll find information about the latest release of Node.js.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:nodejs/node"",\n  ""per_page"": 1\n}","Information about the latest release of Node.js, including version number and release date.",1.0
35,"User: what's the size of kubernetes repo\nMCP: I'll check the size of the Kubernetes repository.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:kubernetes/kubernetes"",\n  ""per_page"": 1\n}","Information about the size of the Kubernetes repository, showing 450MB size and 65,000 commits.",1.0
36,"User: compare activity between angular and react\nMCP: I'll compare the recent activity between the Angular and React repositories.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:angular/angular repo:facebook/react"",\n  ""sort"": ""updated"",\n  ""per_page"": 2\n}","Comparison of recent activity between Angular and React repositories, showing commit counts for the last week.",1.0
37,"User: find dependencies of express\nMCP: I'll search for the dependencies used by the Express.js framework.\nRunning get_file_contents from @smithery-ai-github (local)\n{\n  ""owner"": ""expressjs"",\n  ""repo"": ""express"",\n  ""path"": ""package.json""\n}","List of dependencies used by the Express.js framework, extracted from its package.json file.",1.0
38,"User: show notable forks of tensorflow\nMCP: I'll find notable forks of the TensorFlow repository.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""fork:true tensorflow"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of notable forks of the TensorFlow repository, sorted by star count, including repository names and descriptions.",1.0
39,"User: what topics are associated with react\nMCP: I'll check what topics are associated with the React repository.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:facebook/react"",\n  ""per_page"": 1\n}","List of topics associated with the React repository, including javascript, react, library, ui, and frontend.",1.0
40,"User: show github actions workflows in next.js\nMCP: I'll search for GitHub Actions workflow files in the Next.js repository.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""path:.github/workflows repo:vercel/next.js"",\n  ""per_page"": 5\n}","List of GitHub Actions workflow files in the Next.js repository, including file names and paths.",1.0
41,"User: show discussions about performance in svelte\nMCP: I'll search for performance-related discussions in the Svelte repository.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:sveltejs/svelte is:discussion performance"",\n  ""sort"": ""comments"",\n  ""per_page"": 5\n}","List of performance-related discussions in the Svelte repository, sorted by comment count, including discussion titles and URLs.",1.0
42,"User: what labels does rust use for issues\nMCP: I'll check what labels are used in the Rust repository for issues.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:rust-lang/rust is:issue"",\n  ""per_page"": 5\n}","List of labels used in the Rust repository for issues, including label names and colors.",1.0
43,"User: find issue templates in kubernetes\nMCP: I'll search for issue templates in the Kubernetes repository.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""path:.github/ISSUE_TEMPLATE repo:kubernetes/kubernetes"",\n  ""per_page"": 5\n}","List of issue templates in the Kubernetes repository, including file names and paths.",1.0
44,"User: show commit activity in django\nMCP: I'll check the commit activity statistics for the Django repository.\nRunning list_commits from @smithery-ai-github (local)\n{\n  ""owner"": ""django"",\n  ""repo"": ""django"",\n  ""per_page"": 5\n}","List of recent commits in the Django repository, including commit messages, authors, and timestamps.",1.0
45,"User: list branches in fastapi\nMCP: I'll retrieve the list of branches in the FastAPI repository.\nRunning create_branch from @smithery-ai-github (local)\n{\n  ""owner"": ""tiangolo"",\n  ""repo"": ""fastapi"",\n  ""branch"": ""master""\n}","Information about branches in the FastAPI repository, including the main branch and its protection rules.",1.0
46,"User: show reviews on pull request #5432 in numpy\nMCP: I'll fetch the reviews for pull request #5432 in the NumPy repository.\nRunning search_issues from @smithery-ai-github (local)\n{\n  ""q"": ""repo:numpy/numpy type:pr #5432"",\n  ""per_page"": 1\n}","Details of reviews on pull request #5432 in the NumPy repository, including reviewer names, review states, and comments.",1.0
47,"User: show wiki pages in electron\nMCP: I'll search for wiki pages in the Electron repository.\nRunning search_code from @smithery-ai-github (local)\n{\n  ""q"": ""repo:electron/electron path:wiki"",\n  ""per_page"": 5\n}","List of wiki pages in the Electron repository, including file names and paths.",1.0
48,"User: show security policy of postgresql\nMCP: I'll retrieve the security policy for the PostgreSQL repository.\nRunning get_file_contents from @smithery-ai-github (local)\n{\n  ""owner"": ""postgres"",\n  ""repo"": ""postgres"",\n  ""path"": ""SECURITY.md""\n}","Content of the SECURITY.md file from the PostgreSQL repository, including supported versions and vulnerability reporting process.",1.0
49,"User: check deployment status of vercel/next.js\nMCP: I'll check the deployment status of the Next.js repository.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""repo:vercel/next.js"",\n  ""per_page"": 1\n}","Information about the deployment status of the Next.js repository, including environment and state.",1.0
50,"User: find repositories with comprehensive documentation\nMCP: I'll search for repositories known for their comprehensive documentation.\nRunning search_repositories from @smithery-ai-github (local)\n{\n  ""q"": ""topic:documentation stars:>1000"",\n  ""sort"": ""stars"",\n  ""per_page"": 5\n}","List of repositories with comprehensive documentation, sorted by star count, including repository names and descriptions.",1.0
